
Data Capture: 12/08/2023 17:42:16
Time  Vec   Wfm
1    0001   520
17    0001   462
33    0001   296
49    0011   78
64    0011   -102
80    0111   -198
95    0111   -184
111    0111   -123
128    0101   -62
145    0101   -8
161    0001   34
177    0001   38
193    0001   -26
209    0001   -170
227    0001   -325
244    0001   -456
259    0001   -476
275    0000   -293
290    0000   54
307    0000   464
323    0000   698
339    0000   720
355    0000   601
372    0000   491
389    0000   380
404    0000   250
421    0000   105
436    0000   -16
453    0000   -177
469    0000   -288
485    0000   -342
501    1000   -390
517    1000   -424
533    1000   -416
550    1000   -424
566    1000   -461
582    0000   -492
598    0000   -502
614    0000   -489
630    0000   -469
647    0000   -485
662    0000   -541
678    0000   -634
694    0000   -723
710    0000   -811
726    0000   -878
741    0000   -932
757    0000   -995
773    0000   -1082
790    0000   -1198
806    0000   -1276
821    0000   -1278
837    0000   -1226
853    0000   -1138
869    0000   -999
885    0000   -816
901    0000   -651
918    0000   -559
933    0000   -533
949    0000   -536
966    0000   -584
982    0000   -607
998    0000   -532
1014    0000   -368
1030    0000   -133
1046    0000   91
1062    0000   230
1079    0000   308
1094    0000   386
1110    0000   504
1126    0000   622
1141    0000   734
1158    0000   832
1173    0000   861
1189    0000   804
1205    0000   652
1223    0000   522
1239    0000   484
1255    0000   520
1271    0000   619
1287    0000   717
1304    0000   770
1319    0000   750
1335    0000   662
1350    0000   561
1367    0000   469
1383    0000   372
1399    0000   278
1414    0000   187
1430    0000   57
1445    0000   -102
1462    0000   -279
1478    0000   -405
1494    0000   -463
1510    0000   -473
1526    0000   -475
1542    0000   -483
1558    0000   -487
1574    0000   -468
1590    0000   -429
1606    0000   -391
1622    0000   -372
1638    0000   -368
1654    0000   -360
1670    0000   -341
1686    0000   -334
1702    0000   -362
1718    0000   -422
1734    0000   -490
1750    0000   -513
1766    0000   -498
1782    0000   -418
1797    0000   -316
1813    0000   -198
1830    0000   -83
1846    0000   -21
1862    0000   8
1877    0000   48
1894    0000   116
1910    0000   194
1927    0000   288
1942    0000   363
1958    0000   448
1974    0000   525
1990    0000   555
2006    0000   515
2022    0000   437
2038    0000   283
2054    0000   104
2070    0000   -38
2086    0000   -126
2101    0000   -155
2117    0000   -102
2133    0000   -29
2149    0000   2
2166    0000   -29
2182    0000   -91
2197    0000   -147
2215    0000   -171
2231    0000   -159
2247    0000   -126
2263    0000   -91
2280    0000   -48
2296    0000   -17
2311    0000   -7
2327    0000   -6
2344    0000   8
2360    0000   44
2377    0000   74
2393    0000   72
Index, Trig Time (index order)
0 1
1 49
2 80
3 501
Turning ON LED #0
Index  Trig Time (Trig order)
0   1
1   49
2   80
3   501
First Mic hit: 0
Quad = [0, 1]
Mic Angle = 4
Mic Trig 1st 2nd :1, 49
Total angle: 80
Reverberation Time: 574
========END DATA EVENT========
