Data Capture: 03/06/2024 16:29:08
Time  Vec   Wfm
1    0010   -1105
17    0110   -923
33    0110   -726
49    0100   -566
65    0100   -731
81    0000   -1298
98    0000   -1219
114    0010   78
131    0011   992
148    0011   1483
165    0010   1790
182    0010   1930
198    0010   1722
214    0010   1187
230    0010   576
246    0010   210
262    0010   185
279    0010   445
295    0010   735
312    0000   865
328    0000   852
344    0000   757
359    0000   656
375    0000   604
391    0000   636
407    0000   688
423    0000   744
438    0000   713
454    0000   585
470    0000   422
486    0001   287
502    0001   163
518    0001   50
534    0001   -83
550    1001   -179
566    1001   -210
582    0001   -228
598    0001   -277
614    0001   -366
630    0001   -443
647    0001   -462
663    1001   -408
680    1001   -398
696    1001   -467
712    1001   -554
728    1001   -615
744    1001   -681
760    0001   -750
776    0001   -759
791    0001   -718
807    0001   -675
823    0001   -645
839    0001   -646
856    0001   -698
872    0001   -758
889    0001   -754
905    0000   -696
921    0000   -584
937    0000   -445
954    0000   -310
970    0000   -248
986    0000   -232
1002    0000   -242
1017    0000   -285
1034    0000   -344
1050    0000   -397
1065    0000   -405
1081    0000   -367
1097    0000   -314
1113    0000   -244
1131    0000   -178
1147    0000   -116
1163    0000   -45
1179    0000   40
1195    0000   129
1210    0000   180
1226    0000   208
1243    0000   217
1259    0000   202
1275    0000   198
1291    0000   197
1306    0000   165
1323    0000   126
1338    0000   113
1354    0000   97
1370    0000   73
1386    0000   17
1402    0000   -54
1417    0000   -92
1434    0000   -84
1449    0000   -43
1466    0000   -32
1482    0000   -59
1499    0000   -209
1514    0000   -452
1531    0000   -635
1547    0000   -706
1563    0000   -666
1579    0000   -539
1595    0000   -334
1611    0000   -125
1628    0000   36
1644    0000   179
1660    0000   280
1676    0000   317
1692    0000   302
1708    0000   281
1724    0000   222
1740    0000   160
1756    0001   129
1772    0001   83
1788    0001   0
1804    0001   -117
1820    0001   -235
1836    0010   -292
1852    0010   -277
1867    0000   -221
1884    0000   -167
1900    0000   -98
1916    0000   -3
1933    0000   120
1949    0000   210
1964    0000   262
1981    0001   344
1996    0001   421
2012    0001   478
2028    0001   521
2044    0001   546
2060    0001   546
2075    0001   550
2091    0001   531
2108    0001   485
2125    0001   416
2141    0001   334
2157    0001   250
2174    0001   156
2190    0001   45
2206    0001   -75
2223    0001   -134
2239    0000   -139
2256    0000   -147
2271    0000   -154
2287    0000   -148
2303    0000   -151
2319    0000   -156
2335    0000   -156
2350    0000   -152
2366    0000   -156
2381    0000   -162
2398    0000   -198
Index, Trig Time (index order)
0 131
1 1
2 17
3 550
Turning ON LED #1
Index  Trig Time (Trig order)
1   1
2   17
0   131
3   550
First Mic hit: 1
Quad = [1, 2]
Mic Angle = 1
Mic Trig 1st 2nd :1, 17
Total angle: 137
Reverberation Time: 548
========END DATA EVENT========
